Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 null Big Frames ;11450;   2 : 0   ; heX null ;5164;Вторая команда;Гипотеза верна
 null Jaguar ;19219;   1 : 2   ; Infinity (colomb) null ;16353;Вторая команда;Гипотеза не верна
 12 FaZe ;1017283;   2 : 0   ; NRG 8 ;1401667;Первая команда;Гипотеза не верна
 13 FURIA ;548858;   2 : 0   ; Spirit 25 ;609527;Первая команда;Гипотеза не верна
 131 Malvinas ;20477;   0 : 2   ; Sinisters null ;3942;Первая команда;Гипотеза верна
 32 Tricked ;271415;   0 : 2   ; G2 10 ;935547;Вторая команда;Гипотеза верна
 50 Chaos (Sweden) ;113127;   2 : 1   ; HAVU 48 ;142643;Вторая команда;Гипотеза не верна
 2 Liquid ;2437020;   2 : 0   ; Cloud9 53 ;198829;Вторая команда;Гипотеза верна
 21 Sprout ;658593;   0 : 2   ; Spirit 25 ;308857;Вторая команда;Гипотеза верна
 48 HAVU ;186895;   2 : 0   ; Vega 51 ;97598;Первая команда;Гипотеза верна
 4 Vitality ;415163;   0 : 2   ; FURIA 13 ;51368;Вторая команда;Гипотеза верна
 10 G2 ;1472733;   2 : 0   ; GamerLegion 30 ;466291;Первая команда;Гипотеза не верна
 32 Tricked ;1058275;   2 : 1   ; VP 41 ;474356;Первая команда;Гипотеза верна
 53 Cloud9 ;125227; отменен                                     ; NRG 8 ;377845;Вторая команда;Гипотеза не верна
 2 Liquid ;491790;   16 : 11   ; Renegades 16 ;77509;Первая команда;Гипотеза верна
 17 mibr ;184359;   14 : 16   ; FaZe 12 ;476301;Первая команда;Гипотеза верна
 17 mibr ;152226;   10 : 16   ; NRG 8 ;444152;Первая команда;Гипотеза не верна
 12 FaZe ;362267;   4 : 16   ; Liquid 2 ;890179;Первая команда;Гипотеза верна
 53 Cloud9 ;1069517;   12 : 16   ; Renegades 16 ;917677;Первая команда;Гипотеза верна
 17 mibr ;102372;   11 : 16   ; Liquid 2 ;632599;Вторая команда;Гипотеза верна
 13 FURIA ;123148;   2 : 0   ; Chiefs 38 ;18839;Первая команда;Гипотеза верна
 25 Spirit ;152513;   2 : 0   ; Singularity 47 ;77699;Первая команда;Гипотеза верна
 12 FaZe ;773909;   12 : 16   ; Cloud9 53 ;333189;Вторая команда;Гипотеза верна
 8 NRG ;958643;   16 : 8   ; Renegades 16 ;514088;Первая команда;Гипотеза не верна
 131 Malvinas ;27554;   2 : 1   ; Agressive null ;5221;Первая команда;Гипотеза верна
 17 mibr ;803598; отменен                                     ; Cloud9 53 ;882257;Первая команда;Гипотеза верна
 2 Liquid ;840623;   16 : 9   ; NRG 8 ;251168;Первая команда;Гипотеза не верна
 49 Epsilon ;171730;   0 : 2   ; VP 41 ;230243;Вторая команда;Гипотеза не верна
 30 GamerLegion ;592280;   2 : 0   ; HellRaisers 23 ;664298;Первая команда;Гипотеза не верна
 12 FaZe ;984337;   16 : 14   ; Renegades 16 ;551548;Вторая команда;Гипотеза верна
 2 Liquid ;1277076;   16 : 8   ; Cloud9 53 ;280456;Вторая команда;Гипотеза верна
 50 Chaos (Sweden) ;71972;   2 : 1   ; Vega 51 ;42101;Вторая команда;Гипотеза не верна
 13 FURIA ;35068;   8 : 16   ; Sprout 21 ;70377;Первая команда;Гипотеза не верна
 4 Vitality ;88899;   16 : 8   ; Spirit 25 ;37516;Первая команда;Гипотеза не верна
 12 FaZe ;457660;   16 : 9   ; NRG 8 ;878407;Первая команда;Гипотеза верна
 17 mibr ;318639;   16 : 14   ; Renegades 16 ;812321;Вторая команда;Гипотеза верна
 71 ATK ;3192;   7 : 16   ; Sprout 21 ;23796;Вторая команда;Гипотеза не верна
 25 Spirit ;210599;   16 : 11   ; Singularity 47 ;111446;Вторая команда;Гипотеза верна
 40 Winstrike ;281515;   1 : 2   ; VP 41 ;440262;Вторая команда;Гипотеза верна
 96 Furious ;15465;   1 : 2   ; Sinisters null ;3500;Первая команда;Гипотеза верна
 52 DreamEaters ;103927;   0 : 2   ; HAVU 48 ;145421;Вторая команда;Гипотеза верна
 39 Aristocracy ;410523;   1 : 2   ; HellRaisers 23 ;762040;Первая команда;Гипотеза не верна
 38 Chiefs ;177078;   6 : 16   ; FURIA 13 ;407378;Первая команда;Гипотеза верна
 90 Party Astronauts ;29588;   7 : 16   ; Vitality 4 ;394054;Вторая команда;Гипотеза не верна
 10 G2 ;694419;   16 : 12   ; Epsilon 49 ;202949;Первая команда;Гипотеза верна
 32 Tricked ;915873;   16 : 14   ; GamerLegion 30 ;927174;Первая команда;Гипотеза верна
 62 SJ Gaming ;61279;   0 : 2   ; Turkey5 null ;14664;Первая команда;Гипотеза не верна
 41 VP ;507515;   20 : 22   ; Epsilon 49 ;359934;Первая команда;Гипотеза верна
 23 HellRaisers ;995702;   20 : 22   ; GamerLegion 30 ;907451;Первая команда;Гипотеза верна
 39 Aristocracy ;671837;   10 : 16   ; Tricked 32 ;805058;Вторая команда;Гипотеза верна
 10 G2 ;437760;   16 : 12   ; Winstrike 40 ;94058;Первая команда;Гипотеза верна
 13 FURIA ;315765;   2 : 0   ; Singularity 47 ;164833;Первая команда;Гипотеза верна
 72 PACT ;130240;   1 : 2   ; HAVU 48 ;279107;Вторая команда;Гипотеза верна
 4 Vitality ;556582;   2 : 0   ; Sprout 21 ;119450;Первая команда;Гипотеза не верна
 52 DreamEaters ;585995;   2 : 0   ; Syman 59 ;360608;Первая команда;Гипотеза верна
 null heX ;16326;   2 : 1   ; Good Game PR null ;21099;Первая команда;Гипотеза верна
 null Just Swing ;19283;   1 : 2   ; absolute mad lads 122 ;35348;Первая команда;Гипотеза не верна
 null Big Frames ;102602;   2 : 0   ; Dogs of War null ;20524;Вторая команда;Гипотеза не верна
 121 LiviD ;23050;   2 : 0   ; Front null ;10340;Первая команда;Гипотеза не верна
 68 Copenhagen Flames ;163493;   1 : 2   ; HAVU 48 ;272177;Вторая команда;Гипотеза верна
 84 paiN ;27768;   6 : 16   ; Keyd 88 ;15802;Вторая команда;Гипотеза верна
 null Sinister5 ;4526;   2 : 1   ; Big 5 99 ;8233;Вторая команда;Гипотеза не верна
 83 Lyngby Vikings ;5943;   1 : 2   ; Tricked 32 ;65645;Первая команда;Гипотеза не верна
 74 Vexed ;40857;   1 : 2   ; Nemiga 42 ;128791;Первая команда;Гипотеза не верна
 85 Fierce ;42365;   2 : 1   ; SJ Gaming 62 ;94355;Первая команда;Гипотеза верна
 70 Unique ;147665;   1 : 2   ; Syman 59 ;69422;Вторая команда;Гипотеза верна
 57 Nordavind ;152597;   2 : 1   ; forZe 22 ;409870;Вторая команда;Гипотеза не верна
 66 Illuminar ;137086;   2 : 0   ; Aristocracy 39 ;317510;Вторая команда;Гипотеза верна
 77 Gambit Youngsters ;286801;   0 : 2   ; PACT 72 ;265385;Вторая команда;Гипотеза верна
 null madlikewizards ;29498;   2 : 0   ; Justice null ;9253;Первая команда;Гипотеза верна
 42 Nemiga ;142937;   1 : 2   ; AGO 43 ;65993;Вторая команда;Гипотеза верна
 32 Tricked ;389954;   2 : 0   ; Nordavind 57 ;199085;Первая команда;Гипотеза не верна
