Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 90 Party Astronauts ;60;   2 : 1   ; The Quest 92 ;30;Вторая команда;Гипотеза верна
 82 New Identity ;215;   2 : 0   ; Bad News Bears 78 ;837;Первая команда;Гипотеза верна
 13 FURIA ;484508;   2 : 0   ; Fnatic 7 ;722841;Первая команда;Гипотеза верна
 9 North ;856610;   2 : 0   ; Windigo 27 ;255157;Вторая команда;Гипотеза верна
 null Good Game PR ;129;   16 : 19   ; The Quest 92 ;184;Первая команда;Гипотеза верна
 114 ex-Zone ;19;   17 : 19   ; Bad News Bears 78 ;323;Первая команда;Гипотеза верна
 90 Party Astronauts ;13953;   16 : 1   ; New England null ;1631;Первая команда;Гипотеза не верна
 82 New Identity ;505;   16 : 3   ; Lowkey null ;335;Вторая команда;Гипотеза не верна
 76 DETONA ;4750;   16 : 4   ; Red Canids 133 ;6708;Первая команда;Гипотеза не верна
 78 Bad News Bears ;26483;   22 : 19   ; shoot back null ;1744;Вторая команда;Гипотеза верна
 122 absolute mad lads ;3209;   13 : 16   ; Good Game PR null ;7554;Вторая команда;Гипотеза верна
 118 Thunder Logic ;1162;   3 : 16   ; Party Astronauts 90 ;2999;Вторая команда;Гипотеза не верна
 92 The Quest ;3304;   19 : 16   ; ETHEREAL null ;691;Первая команда;Гипотеза не верна
 82 New Identity ;5652;   16 : 6   ; LiviD 121 ;1029;Первая команда;Гипотеза не верна
 84 paiN ;4653;   13 : 16   ; Indios sem Oca null ;837;Первая команда;Гипотеза верна
 140 Santos ;1512;   16 : 7   ; Team Reapers 136 ;3100;Вторая команда;Гипотеза верна
 4 Vitality ;583408;   2 : 0   ; NiP 14 ;57639;Вторая команда;Гипотеза не верна
 6 Ence ;1230843;   2 : 1   ; G2 10 ;473218;Вторая команда;Гипотеза верна
 127 W7M ;38505;   22 : 25   ; Red Canids 133 ;14531;Вторая команда;Гипотеза верна
 141 INTZ.Academy ;9428; перенесён                                     ; Bulldozer 139 ;19177;Первая команда;Гипотеза верна
 null Maknitude ;94678;   2 : 1   ; Chaos (Sweden) 50 ;285816;Вторая команда;Гипотеза верна
 49 Epsilon ;34072;   0 : 2   ; GamerLegion 30 ;71659;Первая команда;Гипотеза не верна
 8 NRG ;502689;   2 : 1   ; Cloud9 old null ;154893;Первая команда;Гипотеза верна
 73 Isurus ;21779;   1 : 2   ; Renegades 16 ;252135;Вторая команда;Гипотеза не верна
 22 forZe ;231246;   10 : 16   ; Sprout 21 ;383962;Первая команда;Гипотеза верна
 null STEPxHYDR ;48079;   7 : 16   ; Maknitude null ;65804;Первая команда;Гипотеза верна
 30 GamerLegion ;27242;   16 : 5   ; Nexus Academy null ;2308;Первая команда;Гипотеза не верна
 null Megawonsz9 ;12741;   7 : 16   ; Epsilon 49 ;72512;Первая команда;Гипотеза верна
 56 FrenchFrogs ;268620;   12 : 16   ; Chaos (Sweden) 50 ;311458;Первая команда;Гипотеза верна
 55 pro100 ;25580; перенесён                                     ; CR4ZY 11 ;116945;Вторая команда;Гипотеза верна
 null Megawonsz9 ;3195;   16 : 3   ; Lilmix null ;4069;Первая команда;Гипотеза верна
 64 LDLC ;82999;   8 : 16   ; Maknitude null ;99920;Первая команда;Гипотеза верна
 null BuzzKill ;915;   14 : 16   ; Nexus Academy null ;391;Вторая команда;Гипотеза верна
 null Giants ;35470;   13 : 16   ; GamerLegion 30 ;112747;Первая команда;Гипотеза верна
 50 Chaos (Sweden) ;107887;   16 : 5   ; Youngsters 130 ;23493;Первая команда;Гипотеза верна
 null Endpoint ;20748;   5 : 16   ; FrenchFrogs 56 ;107105;Первая команда;Гипотеза не верна
 43 AGO ;117405;   13 : 16   ; STEPxHYDR null ;23409;Вторая команда;Гипотеза не верна
 46 x-kom ;317746;   9 : 16   ; Epsilon 49 ;343181;Первая команда;Гипотеза не верна
 65 Izako Boars ;170672;   20 : 22   ; forZe 22 ;303432;Вторая команда;Гипотеза верна
 25 Spirit ;427814;   16 : 10   ; ALTERNATE aTTaX 54 ;257648;Вторая команда;Гипотеза верна
 22 forZe ;382305;   6 : 16   ; Epsilon 49 ;278032;Вторая команда;Гипотеза не верна
 null D13 ;6497;   0 : 2   ; Updraft null ;4190;Первая команда;Гипотеза не верна
 126 Ignis ;14180;   0 : 2   ; MVP PK 34 ;232233;Первая команда;Гипотеза не верна
 38 Chiefs ;49087;   16 : 8   ; ex-Athletico 89 ;3979;Первая команда;Гипотеза верна
 38 Chiefs ;29870; отменен                                     ; Athletico null ;994;Вторая команда;Гипотеза верна
 57 Nordavind ;463398;   2 : 0   ; Nemiga 42 ;449327;Вторая команда;Гипотеза не верна
 89 ex-Athletico ;59469;   16 : 9   ; Rooster null ;70679;Вторая команда;Гипотеза верна
 null Athletico ;8837; отменен                                     ; Rooster null ;2840;Вторая команда;Гипотеза верна
 null ahq ;96022;   0 : 2   ; Mongolz 135 ;89269;Первая команда;Гипотеза верна
 null Absolute ;72584;   0 : 2   ; Mazaalai 95 ;81765;Вторая команда;Гипотеза верна
 34 MVP PK ;586744;   2 : 0   ; Updraft null ;14486;Первая команда;Гипотеза не верна
 126 Ignis ;192650;   2 : 0   ; D13 null ;60625;Первая команда;Гипотеза верна
 135 Mongolz ;9824;   1 : 2   ; Mazaalai 95 ;42535;Вторая команда;Гипотеза не верна
 null Absolute ;64446;   2 : 0   ; ahq null ;15806;Первая команда;Гипотеза верна
 null Volta7 ;1874;   2 : 0   ; aiMMode null ;586;Первая команда;Гипотеза верна
 null mythic ;29505;   4 : 16   ; Ascent 128 ;61998;Первая команда;Гипотеза не верна
 60 TeamOne ;37389;   16 : 5   ; Royal (prospects) null ;7571;Первая команда;Гипотеза верна
 14 NiP ;191955;   0 : 2   ; FaZe 12 ;682038;Первая команда;Гипотеза верна
 60 TeamOne ;46423;   8 : 16   ; Thunder Logic 118 ;6783;Вторая команда;Гипотеза верна
 18 Tyloo ;217437;   0 : 2   ; Windigo 27 ;119406;Первая команда;Гипотеза верна
 47 Singularity ;105062;   16 : 4   ; ATK 71 ;62702;Первая команда;Гипотеза верна
 2 Liquid ;1067947;   2 : 0   ; North 9 ;629101;Первая команда;Гипотеза верна
 null Lucid Dream ;36692;   0 : 2   ; Vitality 4 ;1101578;Первая команда;Гипотеза верна
 7 Fnatic ;1498187;   16 : 7   ; Cloud9 old null ;664793;Первая команда;Гипотеза не верна
 8 NRG ;456446;   7 : 16   ; FURIA 13 ;213089;Вторая команда;Гипотеза не верна
 84 paiN ;95681;   2 : 1   ; W7M 127 ;84825;Первая команда;Гипотеза не верна
 16 Renegades ;1283072;   17 : 19   ; G2 10 ;1145720;Вторая команда;Гипотеза верна
 6 Ence ;884842;   16 : 4   ; Isurus 73 ;94622;Вторая команда;Гипотеза верна
 12 FaZe ;1000071;   16 : 7   ; Windigo 27 ;440904;Вторая команда;Гипотеза не верна
 14 NiP ;859369;   16 : 13   ; Tyloo 18 ;887083;Первая команда;Гипотеза не верна
 98 Goliath ;79728;   1 : 2   ; Energy 119 ;27394;Первая команда;Гипотеза не верна
 4 Vitality ;1450022;   14 : 16   ; North 9 ;800109;Первая команда;Гипотеза верна
 2 Liquid ;654011;   16 : 7   ; Lucid Dream null ;46700;Вторая команда;Гипотеза верна
 119 Energy ;87844;   2 : 0   ; Sinister5 null ;168780;Вторая команда;Гипотеза не верна
 null DINQ ;26256;   11 : 16   ; Justice null ;220801;Вторая команда;Гипотеза верна
 null Fanta ;584; перенесён                                     ; Athletico null ;5861;Вторая команда;Гипотеза верна
 50 Chaos (Sweden) ;565239;   2 : 0   ; VP 41 ;622844;Первая команда;Гипотеза верна
 null Infinity (colomb) ;16706;   2 : 0   ; low mangoes null ;4919;Вторая команда;Гипотеза верна
 78 Bad News Bears ;79498;   16 : 2   ; Variance 123 ;9319;Первая команда;Гипотеза не верна
 null BLITZKRIEG ;15705;   13 : 16   ; ATK 71 ;79567;Первая команда;Гипотеза верна
 78 Bad News Bears ;203271;   16 : 3   ; Thunder Logic 118 ;40595;Вторая команда;Гипотеза не верна
 105 Inflames ;86654;   1 : 2   ; W7M 127 ;165163;Первая команда;Гипотеза верна
 null TOLY ;29701;   0 : 2   ; Sinister5 null ;15996;Первая команда;Гипотеза верна
 49 Epsilon ;1200997;   16 : 8   ; expert 63 ;337899;Первая команда;Гипотеза не верна
 119 Energy ;112319;   0 : 2   ; Goliath 98 ;210479;Первая команда;Гипотеза верна
 65 Izako Boars ;446945;   12 : 16   ; Chaos (Sweden) 50 ;856646;Первая команда;Гипотеза верна
 41 VP ;181447;   13 : 16   ; CR4ZY 11 ;729833;Вторая команда;Гипотеза верна
 49 Epsilon ;66318; перенесён                                     ; x-kom 46 ;39853;Первая команда;Гипотеза верна
 43 AGO ;268282;   13 : 16   ; HAVU 48 ;130824;Первая команда;Гипотеза верна
 50 Chaos (Sweden) ;218014;   11 : 16   ; expert 63 ;78857;Первая команда;Гипотеза верна
 null Sinister5 ;8946;   2 : 1   ; Big 5 99 ;21171;Первая команда;Гипотеза верна
 62 SJ Gaming ;163606;   9 : 16   ; Ancient 31 ;458937;Первая команда;Гипотеза не верна
 30 GamerLegion ;893311;   12 : 16   ; Movistar Riders 37 ;872397;Вторая команда;Гипотеза не верна
 59 Syman ;450157;   7 : 16   ; expert 63 ;166873;Первая команда;Гипотеза не верна
 30 GamerLegion ;16756; перенесён                                     ; x-kom 46 ;3583;Вторая команда;Гипотеза верна
 41 VP ;401999;   19 : 17   ; ALTERNATE aTTaX 54 ;401233;Вторая команда;Гипотеза верна
 null TOLY ;8624;   2 : 1   ; Exdee null ;7931;Вторая команда;Гипотеза не верна
 35 Order ;154535;   16 : 2   ; Athletico null ;37061;Первая команда;Гипотеза не верна
 31 Ancient ;798092;   1 : 2   ; x-kom 46 ;383473;Первая команда;Гипотеза не верна
 35 Order ;155444;   16 : 13   ; rewound 111 ;43026;Первая команда;Гипотеза верна
 38 Chiefs ;65810;   16 : 13   ; SYF 80 ;13895;Вторая команда;Гипотеза верна
 87 Genuine ;73734;   8 : 16   ; Order 35 ;300183;Вторая команда;Гипотеза не верна
 28 Grayhound ;395427;   16 : 6   ; rewound 111 ;94922;Вторая команда;Гипотеза верна
 92 The Quest ;10492; перенесён                                     ; BLITZKRIEG null ;3384;Вторая команда;Гипотеза верна
 null Good Game PR ;1017;   0 : 2   ; TeamOne 60 ;10073;Первая команда;Гипотеза верна
 61 Lazarus ;1610;   2 : 0   ; The Quest 92 ;3259;Вторая команда;Гипотеза верна
 4 Vitality ;963876;   2 : 0   ; Liquid 2 ;1449012;Первая команда;Гипотеза не верна
 null Lowkey ;3210;   8 : 16   ; The Quest 92 ;12369;Первая команда;Гипотеза верна
 61 Lazarus ;17482;   16 : 8   ; SadBots null ;4343;Вторая команда;Гипотеза не верна
 null Peeker's Advantage ;8829;   11 : 16   ; Good Game PR null ;1408;Первая команда;Гипотеза верна
 null Infinity (colomb) ;22473;   4 : 16   ; Lowkey null ;9898;Первая команда;Гипотеза верна
 92 The Quest ;14102;   16 : 9   ; fulfill null ;2562;Первая команда;Гипотеза не верна
 118 Thunder Logic ;10263;   12 : 16   ; SadBots null ;6756;Первая команда;Гипотеза верна
 61 Lazarus ;97165;   16 : 9   ; Big Frames null ;19122;Первая команда;Гипотеза верна
 2 Liquid ;1659493;   2 : 0   ; NRG 8 ;935631;Вторая команда;Гипотеза верна
 null Sinister5 ;1960;   2 : 0   ; ViNCO null ;874;Первая команда;Гипотеза верна
 null TOLY ;851;   0 : 2   ; Goliath 98 ;2796;Первая команда;Гипотеза верна
 127 W7M ;32008;   2 : 0   ; DETONA 76 ;92025;Первая команда;Гипотеза верна
 49 Epsilon ;41010;   1 : 2   ; Sprout 21 ;86936;Первая команда;Гипотеза верна
 72 PACT ;14801;   0 : 2   ; NoChance 33 ;43133;Первая команда;Гипотеза не верна
 null Apeks ;13433;   2 : 1   ; Nordavind 57 ;95819;Вторая команда;Гипотеза не верна
 21 Sprout ;12395;   16 : 14   ; Chaos (Sweden) 50 ;12182;Первая команда;Гипотеза не верна
 41 VP ;73909;   11 : 16   ; NoChance 33 ;66652;Вторая команда;Гипотеза верна
 72 PACT ;6874;   16 : 14   ; AGO 43 ;9710;Вторая команда;Гипотеза верна
 49 Epsilon ;213507;   16 : 10   ; Denzaaaa null ;11636;Вторая команда;Гипотеза не верна
 4 Vitality ;996404;   2 : 1   ; Ence 6 ;815808;Первая команда;Гипотеза не верна
 null NASR ;33031;   1 : 2   ; FFAmix null ;16073;Первая команда;Гипотеза не верна
 null Denzaaaa ;220;   16 : 13   ; Lyngby Vikings 83 ;287;Первая команда;Гипотеза верна
 50 Chaos (Sweden) ;9165;   16 : 9   ; BuzzKill null ;1357;Вторая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;112416;   5 : 16   ; AGO 43 ;164864;Вторая команда;Гипотеза не верна
 null FATE ;12687;   5 : 16   ; PACT 72 ;43290;Вторая команда;Гипотеза верна
 21 Sprout ;34991;   16 : 14   ; GameAgents 94 ;8675;Вторая команда;Гипотеза верна
 33 NoChance ;33072;   16 : 14   ; finkatt null ;5808;Первая команда;Гипотеза верна
 49 Epsilon ;69965;   16 : 8   ; Ambush null ;20714;Вторая команда;Гипотеза верна
 41 VP ;150926;   16 : 14   ; Pompa Black null ;17128;Первая команда;Гипотеза не верна
 null Dark Tigers ;39503;   2 : 0   ; Esuba null ;52797;Первая команда;Гипотеза верна
 65 Izako Boars ;124170;   1 : 2   ; Nemiga 42 ;349968;Вторая команда;Гипотеза не верна
 98 Goliath ;73198;   2 : 0   ; ViNCO null ;12889;Первая команда;Гипотеза верна
 null Sinister5 ;6661;   0 : 2   ; TOLY null ;5996;Первая команда;Гипотеза верна
 null FFAmix ;38049;   2 : 1   ; NOM null ;67459;Первая команда;Гипотеза не верна
 null Gravity ;337;   0 : 2   ; Absolute Legends null ;239;Первая команда;Гипотеза верна
 41 VP ;226114;   2 : 0   ; SJ Gaming 62 ;98088;Первая команда;Гипотеза верна
 99 Big 5 ;14886;   2 : 0   ; Ladon null ;5313;Вторая команда;Гипотеза верна
 119 Energy ;8486;   2 : 1   ; Exdee null ;4460;Первая команда;Гипотеза верна
 72 PACT ;111095;   0 : 2   ; x-kom 46 ;403593;Первая команда;Гипотеза верна
 2 Liquid ;585286;   16 : 13   ; NRG 8 ;494545;Вторая команда;Гипотеза верна
 8 NRG ;446970;   16 : 12   ; Liquid 2 ;861757;Первая команда;Гипотеза верна
 16 Renegades ;390599;   11 : 16   ; Liquid 2 ;1006247;Первая команда;Гипотеза верна
 2 Liquid ;1519582;   16 : 8   ; Renegades 16 ;555214;Первая команда;Гипотеза не верна
 16 Renegades ;840770;   16 : 13   ; Vitality 4 ;1303742;Вторая команда;Гипотеза не верна
 null Denial ;5200;   2 : 1   ; Furious 96 ;1501;Первая команда;Гипотеза не верна
 13 FURIA ;63629;   16 : 13   ; The Quest 92 ;13185;Вторая команда;Гипотеза верна
 4 Vitality ;1446495;   16 : 14   ; Renegades 16 ;557522;Вторая команда;Гипотеза верна
 76 DETONA ;288816;   2 : 1   ; 9z 93 ;57795;Вторая команда;Гипотеза не верна
 null Ghost old ;664849;   16 : 14   ; Ence 6 ;1407083;Первая команда;Гипотеза не верна
 6 Ence ;1395142;   16 : 6   ; Ghost old null ;365821;Первая команда;Гипотеза не верна
 127 W7M ;124018;   2 : 0   ; Denial null ;49659;Первая команда;Гипотеза верна
 4 Vitality ;1663021;   9 : 16   ; Ence 6 ;1149034;Вторая команда;Гипотеза верна
 null Aequus ;17351;   0 : 2   ; FFAmix null ;10503;Вторая команда;Гипотеза не верна
 null NOM ;3742;   1 : 2   ; NASR null ;4893;Вторая команда;Гипотеза верна
 null Esuba ;7217;   2 : 0   ; Absolute Legends null ;3402;Вторая команда;Гипотеза верна
 6 Ence ;1017749;   7 : 16   ; Vitality 4 ;1620754;Первая команда;Гипотеза верна
 57 Nordavind ;690317;   2 : 0   ; Stabaek Momentum null ;32252;Вторая команда;Гипотеза верна
 null FFAmix ;72983; отменен                                     ; nonamer5 null ;49540;Первая команда;Гипотеза не верна
 null Gravity ;16164;   1 : 2   ; Dark Tigers null ;38821;Первая команда;Гипотеза верна
 46 x-kom ;278916;   2 : 0   ; Codewise Unicorns null ;22015;Вторая команда;Гипотеза не верна
 null Apeks ;24595;   2 : 0   ; Riddle null ;7645;Первая команда;Гипотеза верна
 null Italy ;54743;   0 : 2   ; Aequus null ;135732;Первая команда;Гипотеза верна
 65 Izako Boars ;474707;   0 : 2   ; PACT 72 ;493972;Первая команда;Гипотеза не верна
 null Ghost old ;401876;   16 : 13   ; Renegades 16 ;617514;Первая команда;Гипотеза верна
 13 FURIA ;106853; перенесён                                     ; Royal (prospects) null ;803;Первая команда;Гипотеза верна
 13 FURIA ;125649;   16 : 11   ; Polar Ace null ;11640;Вторая команда;Гипотеза верна
 16 Renegades ;638209;   14 : 16   ; Ghost old null ;227472;Первая команда;Гипотеза верна
 13 FURIA ;72126;   16 : 12   ; Singularity 47 ;24796;Первая команда;Гипотеза верна
 null Ghost old ;164279;   9 : 16   ; NRG 8 ;414993;Вторая команда;Гипотеза верна
 8 NRG ;538238;   16 : 5   ; Ghost old null ;220486;Первая команда;Гипотеза не верна
 6 Ence ;748452;   3 : 16   ; NRG 8 ;753362;Первая команда;Гипотеза верна
 17 mibr ;533603;   2 : 1   ; Liquid 2 ;582424;Первая команда;Гипотеза верна
 null WePlayGames ;11192;   0 : 2   ; paiN 84 ;44774;Первая команда;Гипотеза не верна
 8 NRG ;740518;   13 : 16   ; Ence 6 ;810655;Вторая команда;Гипотеза не верна
 null Fit-Pel ;479;   0 : 2   ; SpaceStress null ;1191;Первая команда;Гипотеза не верна
 null Denial ;2678;   1 : 2   ; 9z 93 ;1541;Вторая команда;Гипотеза верна
 96 Furious ;1877;   1 : 2   ; Redemption POA 138 ;1877;Вторая команда;Гипотеза верна
 131 Malvinas ;594;   1 : 2   ; Team Reapers 136 ;1075;Вторая команда;Гипотеза не верна
 null FASTLOSE ;6263;   13 : 16   ; fightclub null ;5433;Первая команда;Гипотеза не верна
 6 Ence ;986190;   3 : 16   ; Liquid 2 ;1255141;Первая команда;Гипотеза не верна
 2 Liquid ;1186276;   14 : 16   ; Ence 6 ;1479297;Первая команда;Гипотеза верна
 null Highscore ;11084;   12 : 16   ; fightclub null ;107782;Вторая команда;Гипотеза верна
 7 Fnatic ;714084;   1 : 2   ; OpTic 20 ;743221;Вторая команда;Гипотеза не верна
 null Aequus ;461;   1 : 2   ; NASR null ;924;Вторая команда;Гипотеза верна
 null FFAmix ;1330;   2 : 0   ; Ramadanpeek null ;1239;Вторая команда;Гипотеза верна
 null fightclub ;146510;   16 : 3   ; Nettisankarit null ;17104;Первая команда;Гипотеза верна
 4 Vitality ;1226692;   16 : 12   ; Liquid 2 ;1866091;Вторая команда;Гипотеза верна
 43 AGO ;362845;   16 : 11   ; Sharks 58 ;175651;Первая команда;Гипотеза не верна
 2 Liquid ;1174827;   3 : 16   ; Vitality 4 ;657604;Первая команда;Гипотеза верна
 56 FrenchFrogs ;314342;   13 : 16   ; Nemiga 42 ;224002;Вторая команда;Гипотеза не верна
 null Portal ;4121;   0 : 2   ; Italy null ;6317;Первая команда;Гипотеза верна
 null nonamer5 ;11805;   1 : 2   ; NOM null ;23218;Первая команда;Гипотеза верна
 58 Sharks ;149074;   1 : 2   ; Winstrike 40 ;376700;Первая команда;Гипотеза не верна
 null BOOT-dS ;700910;   1 : 2   ; Alpha Red null ;198460;Первая команда;Гипотеза верна
 null NASR ;50103;   2 : 0   ; Ramadanpeek null ;7437;Первая команда;Гипотеза верна
 null FFAmix ;19390;   1 : 2   ; Aequus (exDT) null ;30984;Вторая команда;Гипотеза верна
 null Converge ;16724;   0 : 2   ; Ground Zero 67 ;151079;Первая команда;Гипотеза верна
 null Lynn Vision ;8813;   0 : 2   ; Avengers null ;4306;Первая команда;Гипотеза верна
 null Aster ;35389;   2 : 0   ; ToyStory null ;9400;Вторая команда;Гипотеза верна
 null NOM ;12486;   2 : 0   ; Italy null ;3612;Первая команда;Гипотеза верна
 null Portal ;47196; отменен                                     ; nonamer5 null ;33304;Первая команда;Гипотеза верна
 null AGN ;1186;   0 : 2   ; PC419 null ;3761;Первая команда;Гипотеза не верна
 null Alpha Red ;79248;   2 : 1   ; Lucid Dream null ;319457;Вторая команда;Гипотеза не верна
 16 Renegades ;523384;   8 : 16   ; NRG 8 ;810444;Первая команда;Гипотеза не верна
 29 eUnited ;136895;   2 : 0   ; Infinity null ;10744;Вторая команда;Гипотеза верна
 8 NRG ;477346;   16 : 13   ; Renegades 16 ;453043;Вторая команда;Гипотеза верна
 16 Renegades ;206800;   12 : 16   ; Ence 6 ;439759;Вторая команда;Гипотеза не верна
 128 Ascent ;21360;   16 : 14   ; Chris and the boys null ;16290;Первая команда;Гипотеза не верна
 13 FURIA ;22056;   16 : 4   ; BLITZKRIEG null ;3716;Первая команда;Гипотеза не верна
 6 Ence ;579481;   14 : 16   ; Renegades 16 ;287650;Первая команда;Гипотеза верна
 null Polar Ace ;4139;   22 : 19   ; Chris and the boys null ;8711;Вторая команда;Гипотеза верна
 13 FURIA ;30265;   16 : 5   ; Front null ;3161;Вторая команда;Гипотеза не верна
 null Ghost old ;95083;   1 : 2   ; Cloud9 old null ;131706;Вторая команда;Гипотеза верна
 123 Variance ;3015; отменен                                     ; New Identity 82 ;5596;Вторая команда;Гипотеза верна
 47 Singularity ;8745;   16 : 11   ; ex-Zone 114 ;2989;Первая команда;Гипотеза верна
 13 FURIA ;42902;   7 : 16   ; Bad News Bears 78 ;14703;Вторая команда;Гипотеза верна
 4 Vitality ;764587;   16 : 7   ; NRG 8 ;798689;Первая команда;Гипотеза не верна
 8 NRG ;615180;   20 : 22   ; Vitality 4 ;697282;Первая команда;Гипотеза верна
 2 Liquid ;175911;   2 : 0   ; INTZ 45 ;25193;Вторая команда;Гипотеза не верна
 9 North ;695421;   2 : 0   ; BIG 24 ;211081;Первая команда;Гипотеза верна
 4 Vitality ;767095;   16 : 9   ; Ghost old null ;373868;Первая команда;Гипотеза верна
 null Ghost old ;172285;   20 : 22   ; Vitality 4 ;372902;Первая команда;Гипотеза не верна
 37 Movistar Riders ;163191;   16 : 6   ; Chaos (Sweden) 50 ;122213;Первая команда;Гипотеза верна
 30 GamerLegion ;59082;   16 : 8   ; HAVU 48 ;33549;Первая команда;Гипотеза верна
 12 FaZe ;409649;   0 : 2   ; OpTic 20 ;237391;Вторая команда;Гипотеза верна
 43 AGO ;178727;   11 : 16   ; Chaos (Sweden) 50 ;292561;Первая команда;Гипотеза верна
 2 Liquid ;327668;   16 : 11   ; Ghost old null ;40799;Первая команда;Гипотеза верна
 15 Heroic ;265630;   2 : 1   ; Na'Vi 3 ;1205744;Вторая команда;Гипотеза верна
 52 DreamEaters ;59709;   8 : 16   ; Unicorns of Love 69 ;82944;Первая команда;Гипотеза верна
 48 HAVU ;71365;   14 : 16   ; Sprout 21 ;91660;Первая команда;Гипотеза верна
 25 Spirit ;228684;   22 : 19   ; VP 41 ;119507;Первая команда;Гипотеза не верна
 null Ghost old ;58866;   10 : 16   ; Liquid 2 ;293297;Вторая команда;Гипотеза не верна
 65 Izako Boars ;503; перенесён                                     ; Spirit 25 ;3351;Первая команда;Гипотеза не верна
 41 VP ;293883;   16 : 10   ; expert 63 ;79912;Вторая команда;Гипотеза верна
 22 forZe ;243499;   0 : 2   ; Izako Boars 65 ;58069;Вторая команда;Гипотеза верна
 null Alpha Red ;134637;   2 : 0   ; Maple null ;62615;Вторая команда;Гипотеза не верна
 null Lucid Dream ;288143;   1 : 2   ; BOOT-dS null ;192439;Первая команда;Гипотеза не верна
 null MC (R!OT gaming) ;99694; отменен                                     ; Content null ;17141;Первая команда;Гипотеза не верна
 62 SJ Gaming ;314250;   1 : 2   ; x-kom 46 ;527855;Первая команда;Гипотеза верна
 null Maple ;141827;   2 : 0   ; TnC null ;226746;Вторая команда;Гипотеза верна
 80 SYF ;26079;   16 : 5   ; DINQ null ;10756;Вторая команда;Гипотеза не верна
 null MC (R!OT gaming) ;33300;   16 : 7   ; Jade 113 ;56024;Вторая команда;Гипотеза верна
 null Fanta ;1264; перенесён                                     ; Athletico null ;5822;Вторая команда;Гипотеза верна
 35 Order ;60091;   0 : 2   ; Grayhound 28 ;285504;Первая команда;Гипотеза верна
 null Alpha Red ;241028;   2 : 0   ; Beyond 97 ;206787;Вторая команда;Гипотеза верна
 null Cloud9 old ;404971;   2 : 0   ; Infinity (colomb) null ;16355;Первая команда;Гипотеза не верна
 13 FURIA ;280854;   16 : 8   ; mythic null ;22275;Первая команда;Гипотеза верна
 29 eUnited ;185235;   1 : 2   ; Ghost old null ;461297;Вторая команда;Гипотеза не верна
 null All Knights ;12578;   2 : 0   ; Furious 96 ;4336;Первая команда;Гипотеза верна
 47 Singularity ;32320;   16 : 8   ; Polar Ace null ;6595;Первая команда;Гипотеза верна
 13 FURIA ;119796;   16 : 6   ; ex-Zone 114 ;12542;Первая команда;Гипотеза не верна
 127 W7M ;76775;   2 : 0   ; ratoes null ;4797;Первая команда;Гипотеза верна
 17 mibr ;396049;   2 : 0   ; Cloud9 old null ;92502;Первая команда;Гипотеза верна
 84 paiN ;24151;   2 : 1   ; Red Canids 133 ;9044;Вторая команда;Гипотеза верна
 15 Heroic ;326991;   0 : 2   ; North 9 ;661702;Первая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;86038;   5 : 16   ; Epsilon 49 ;182637;Первая команда;Гипотеза верна
 7 Fnatic ;728508;   2 : 1   ; AVANGAR 19 ;922506;Первая команда;Гипотеза верна
 46 x-kom ;94047;   16 : 12   ; pro100 55 ;46851;Первая команда;Гипотеза верна
 63 expert ;12072;   14 : 16   ; AGO 43 ;70005;Первая команда;Гипотеза не верна
 65 Izako Boars ;19760;   17 : 19   ; ALTERNATE aTTaX 54 ;38792;Вторая команда;Гипотеза не верна
 22 forZe ;72355;   11 : 16   ; CR4ZY 11 ;208834;Первая команда;Гипотеза не верна
 3 Na'Vi ;704804;   2 : 0   ; BIG 24 ;143511;Вторая команда;Гипотеза верна
 21 Sprout ;126770;   9 : 16   ; x-kom 46 ;80155;Вторая команда;Гипотеза верна
 50 Chaos (Sweden) ;169205;   16 : 14   ; HAVU 48 ;147586;Вторая команда;Гипотеза не верна
 49 Epsilon ;131908;   16 : 8   ; Spirit 25 ;359189;Первая команда;Гипотеза не верна
 50 Chaos (Sweden) ;107274;   16 : 8   ; pro100 55 ;40455;Первая команда;Гипотеза не верна
 22 forZe ;199512;   13 : 16   ; GamerLegion 30 ;405814;Первая команда;Гипотеза верна
 46 x-kom ;236548;   5 : 16   ; Spirit 25 ;395268;Вторая команда;Гипотеза верна
 31 Ancient ;287439;   2 : 1   ; VP 41 ;179186;Вторая команда;Гипотеза не верна
 129 Paradox ;25616;   16 : 3   ; Fanta null ;6517;Вторая команда;Гипотеза верна
 null VG.Anthrax ;3271;   0 : 2   ; TnC null ;19051;Вторая команда;Гипотеза верна
 null BOOT-dS ;171785;   2 : 0   ; Beyond 97 ;75262;Первая команда;Гипотеза верна
 42 Nemiga ;238739;   16 : 14   ; Epsilon 49 ;215680;Вторая команда;Гипотеза верна
 142 Downfall ;11610;   14 : 16   ; Paradox 129 ;35067;Первая команда;Гипотеза не верна
 28 Grayhound ;247647;   2 : 0   ; Chiefs 38 ;55841;Первая команда;Гипотеза верна
 51 Vega ;289222;   0 : 2   ; Sharks 58 ;272982;Вторая команда;Гипотеза не верна
 116 AOES ;18293;   1 : 2   ; Alpha Red null ;51964;Первая команда;Гипотеза верна
